seed;llm;template_id;question_id;source_accuracy;page_accuracy;similarity;open_knowledge;;;
1;llama3.2;5;6;1;1;0.0582;No;;;
1;llama3.2;5;7;1;1;0.098;No;;;
1;llama3.2;5;8;1;1;0.1219;No;;;
1;llama3.2;5;9;0.5;0;0.5814;No;;;
1;llama3.2;5;10;0.5;0.2;0.5849;No;;;
1;llama3.2;5;1;1;0.5;0.755;Yes;;;
1;llama3.2;5;2;1;0;0.8523;Yes;;;
1;llama3.2;5;3;0;0;0.7178;Yes;;;
1;llama3.2;5;4;1;0;0.5694;Yes;;;
1;llama3.2;5;5;1;0.3333;0.6813;Yes;;;
1;llama3.2;5;6;1;1;0.0313;Yes;;;
1;llama3.2;5;7;1;1;0.0017;Yes;;;
1;llama3.2;5;8;1;1;0.0416;Yes;;;
1;llama3.2;5;9;0.5;0;0.5881;Yes;;;
1;llama3.2;5;10;0.5;0.2;0.5827;Yes;;;
1;qwen2.5:7b;1;1;1;0.5;0.8481;No;;;
1;qwen2.5:7b;1;2;1;0;0.8835;No;;;
1;qwen2.5:7b;1;3;0;0;0.6842;No;;;
1;qwen2.5:7b;1;4;1;0;0.7602;No;;;
1;qwen2.5:7b;1;5;1;0.3333;0.7871;No;;;
1;qwen2.5:7b;1;6;1;1;0.0114;No;;;
1;qwen2.5:7b;1;7;1;1;0.0425;No;;;
1;qwen2.5:7b;1;8;1;1;0.1363;No;;;
1;qwen2.5:7b;1;9;0.5;0;0.5999;No;;;
1;qwen2.5:7b;1;10;0.5;0.2;0.5584;No;;;
1;qwen2.5:7b;1;1;1;0.5;0.8921;Yes;;;
1;qwen2.5:7b;1;2;1;0;0.9159;Yes;;;
1;qwen2.5:7b;1;3;0;0;0.6897;Yes;;;
1;qwen2.5:7b;1;4;1;0;0.7264;Yes;;;
1;qwen2.5:7b;1;5;1;0.3333;0.6714;Yes;;;
1;qwen2.5:7b;1;6;1;1;0.082;Yes;;;
1;qwen2.5:7b;1;7;1;1;0.0119;Yes;;;
1;qwen2.5:7b;1;8;1;1;0.2714;Yes;;;
1;qwen2.5:7b;1;9;0.5;0;0.6193;Yes;;;
1;qwen2.5:7b;1;10;0.5;0.2;0.5295;Yes;;;
1;qwen2.5:7b;2;1;1;0.5;0.7848;No;;;
1;qwen2.5:7b;2;2;1;0;0.9086;No;;;
1;qwen2.5:7b;2;3;0;0;0.6236;No;;;
1;qwen2.5:7b;2;4;1;0;0.7041;No;;;
1;qwen2.5:7b;2;5;1;0.3333;0.6362;No;;;
1;qwen2.5:7b;2;6;1;1;0.0613;No;;;
1;qwen2.5:7b;2;7;1;1;0.2243;No;;;
1;qwen2.5:7b;2;8;1;1;0.1718;No;;;
1;qwen2.5:7b;2;9;0.5;0;0.606;No;;;
1;qwen2.5:7b;2;10;0.5;0.2;0.5924;No;;;
1;qwen2.5:7b;2;1;1;0.5;0.8015;Yes;;;
1;qwen2.5:7b;2;2;1;0;0.8891;Yes;;;
1;qwen2.5:7b;2;3;0;0;0.6673;Yes;;;
1;qwen2.5:7b;2;4;1;0;0.6753;Yes;;;
1;qwen2.5:7b;2;5;1;0.3333;0.6413;Yes;;;
1;qwen2.5:7b;2;6;1;1;-0.0009;Yes;;;
1;qwen2.5:7b;2;7;1;1;0.0085;Yes;;;
1;qwen2.5:7b;2;8;1;1;0.1127;Yes;;;
1;qwen2.5:7b;2;9;0.5;0;0.5844;Yes;;;
1;qwen2.5:7b;2;10;0.5;0.2;0.5906;Yes;;;
1;qwen2.5:7b;3;1;1;0.5;0.1081;No;;;
1;qwen2.5:7b;3;2;1;0;0.8294;No;;;
1;qwen2.5:7b;3;3;0;0;0.639;No;;;
1;qwen2.5:7b;3;4;1;0;0.5976;No;;;
1;qwen2.5:7b;3;5;1;0.3333;0.6842;No;;;
1;qwen2.5:7b;3;6;1;1;0.1122;No;;;
1;qwen2.5:7b;3;7;1;1;0.1541;No;;;
1;qwen2.5:7b;3;8;1;1;0.2817;No;;;
1;qwen2.5:7b;3;9;0.5;0;0.61;No;;;
1;qwen2.5:7b;3;10;0.5;0.2;0.5903;No;;;
1;qwen2.5:7b;3;1;1;0.5;0.83;Yes;;;
1;qwen2.5:7b;3;2;1;0;0.8633;Yes;;;
1;qwen2.5:7b;3;3;0;0;0.708;Yes;;;
1;qwen2.5:7b;3;4;1;0;0.6589;Yes;;;
1;qwen2.5:7b;3;5;1;0.3333;0.6165;Yes;;;
1;qwen2.5:7b;3;6;1;1;0.1892;Yes;;;
1;qwen2.5:7b;3;7;1;1;0.0261;Yes;;;
1;qwen2.5:7b;3;8;1;1;0.0165;Yes;;;
1;qwen2.5:7b;3;9;0.5;0;0.5353;Yes;;;
1;qwen2.5:7b;3;10;0.5;0.2;0.2437;Yes;;;
1;qwen2.5:7b;4;1;1;0.5;0.9006;No;;;
1;qwen2.5:7b;4;2;1;0;0.8857;No;;;
1;qwen2.5:7b;4;3;0;0;0.6955;No;;;
1;qwen2.5:7b;4;4;1;0;0.5695;No;;;
1;qwen2.5:7b;4;5;1;0.3333;0.6241;No;;;
1;qwen2.5:7b;4;6;1;1;0.2701;No;;;
1;qwen2.5:7b;4;7;1;1;0.8843;No;;;
1;qwen2.5:7b;4;8;1;1;0.8843;No;;;
1;qwen2.5:7b;4;9;0.5;0;0.5307;No;;;
1;qwen2.5:7b;4;10;0.5;0.2;0.5463;No;;;
1;qwen2.5:7b;4;1;1;0.5;0.8495;Yes;;;
1;qwen2.5:7b;4;2;1;0;0.8923;Yes;;;
1;qwen2.5:7b;4;3;0;0;0.7238;Yes;;;
1;qwen2.5:7b;4;4;1;0;0.6788;Yes;;;
1;qwen2.5:7b;4;5;1;0.3333;0.7074;Yes;;;
1;qwen2.5:7b;4;6;1;1;0.2477;Yes;;;
1;qwen2.5:7b;4;7;1;1;0.2475;Yes;;;
1;qwen2.5:7b;4;8;1;1;0.8843;Yes;;;
1;qwen2.5:7b;4;9;0.5;0;0.6391;Yes;;;
1;qwen2.5:7b;4;10;0.5;0.2;0.6067;Yes;;;
1;qwen2.5:7b;5;1;1;0.5;0.8481;No;;;
1;qwen2.5:7b;5;2;1;0;0.8944;No;;;
1;qwen2.5:7b;5;3;0;0;0.6721;No;;;
1;qwen2.5:7b;5;4;1;0;0.7197;No;;;
1;qwen2.5:7b;5;5;1;0.3333;0.671;No;;;
1;qwen2.5:7b;5;6;1;1;0.074;No;;;
1;qwen2.5:7b;5;7;1;1;-0.0051;No;;;
1;qwen2.5:7b;5;8;1;1;0.1496;No;;;
1;qwen2.5:7b;5;9;0.5;0;0.6299;No;;;
1;qwen2.5:7b;5;10;0.5;0.2;0.5752;No;;;
1;qwen2.5:7b;5;1;1;0.5;0.8831;Yes;;;
1;qwen2.5:7b;5;2;1;0;0.8455;Yes;;;
1;qwen2.5:7b;5;3;0;0;0.682;Yes;;;
1;qwen2.5:7b;5;4;1;0;0.6962;Yes;;;
1;qwen2.5:7b;5;5;1;0.3333;0.5859;Yes;;;
1;qwen2.5:7b;5;6;1;1;0.0026;Yes;;;
1;qwen2.5:7b;5;7;1;1;0.1231;Yes;;;
1;qwen2.5:7b;5;8;1;1;0.1001;Yes;;;
1;qwen2.5:7b;5;9;0.5;0;0.5952;Yes;;;
1;qwen2.5:7b;5;10;0.5;0.2;0.561;Yes;;;
2;llama3.2;1;1;1;0.5;0.7807;No;;;
2;llama3.2;1;2;1;0;0.7663;No;;;
2;llama3.2;1;3;0;0;0.7229;No;;;
2;llama3.2;1;4;1;0;0.7032;No;;;
2;llama3.2;1;5;1;0.3333;0.6395;No;;;
2;llama3.2;1;6;1;1;0.1479;No;;;
2;llama3.2;1;7;1;1;0.096;No;;;
2;llama3.2;1;8;1;1;0.0671;No;;;
2;llama3.2;1;9;0.5;0;0.6037;No;;;
2;llama3.2;1;10;0.5;0.2;0.6357;No;;;
2;llama3.2;1;1;1;0.5;0.8313;Yes;;;
2;llama3.2;1;2;1;0;0.7959;Yes;;;
2;llama3.2;1;3;0;0;0.7024;Yes;;;
2;llama3.2;1;4;1;0;0.7693;Yes;;;
2;llama3.2;1;5;1;0.3333;0.6435;Yes;;;
2;llama3.2;1;6;1;1;0.014;Yes;;;
2;llama3.2;1;7;1;1;0.195;Yes;;;
2;llama3.2;1;8;1;1;0.2066;Yes;;;
2;llama3.2;1;9;0.5;0;0.642;Yes;;;
2;llama3.2;1;10;0.5;0.2;0.579;Yes;;;
2;llama3.2;2;1;1;0.5;0.8665;No;;;
2;llama3.2;2;2;1;0;0.8106;No;;;
2;llama3.2;2;3;0;0;0.5962;No;;;
2;llama3.2;2;4;1;0;0.6431;No;;;
2;llama3.2;2;5;1;0.3333;0.705;No;;;
2;llama3.2;2;6;1;1;0.0905;No;;;
2;llama3.2;2;7;1;1;0.1774;No;;;
2;llama3.2;2;8;1;1;0.0972;No;;;
2;llama3.2;2;9;0.5;0;0.556;No;;;
2;llama3.2;2;10;0.5;0.2;0.592;No;;;
2;llama3.2;2;1;1;0.5;0.8309;Yes;;;
2;llama3.2;2;2;1;0;0.9203;Yes;;;
2;llama3.2;2;3;0;0;0.6026;Yes;;;
2;llama3.2;2;4;1;0;0.6817;Yes;;;
2;llama3.2;2;5;1;0.3333;0.6594;Yes;;;
2;llama3.2;2;6;1;1;0.1643;Yes;;;
2;llama3.2;2;7;1;1;0.0532;Yes;;;
2;llama3.2;2;8;1;1;0.0522;Yes;;;
2;llama3.2;2;9;0.5;0;0.5743;Yes;;;
2;llama3.2;2;10;0.5;0.2;0.5755;Yes;;;
2;llama3.2;3;1;1;0.5;0.7833;No;;;
2;llama3.2;3;2;1;0;0.6235;No;;;
2;llama3.2;3;3;0;0;0.2785;No;;;
2;llama3.2;3;4;1;0;0.5151;No;;;
2;llama3.2;3;5;1;0.3333;0.7035;No;;;
2;llama3.2;3;6;1;1;0.0243;No;;;
2;llama3.2;3;7;1;1;-0.0031;No;;;
2;llama3.2;3;8;1;1;0.1191;No;;;
2;llama3.2;3;9;0.5;0;0.6025;No;;;
2;llama3.2;3;10;0.5;0.2;0.5991;No;;;
2;llama3.2;3;1;1;0.5;0.797;Yes;;;
2;llama3.2;3;2;1;0;0.6723;Yes;;;
2;llama3.2;3;3;0;0;0.6076;Yes;;;
2;llama3.2;3;4;1;0;0.6905;Yes;;;
2;llama3.2;3;5;1;0.3333;0.4809;Yes;;;
2;llama3.2;3;6;1;1;0.0083;Yes;;;
2;llama3.2;3;7;1;1;0.0815;Yes;;;
2;llama3.2;3;8;1;1;0.1202;Yes;;;
2;llama3.2;3;9;0.5;0;0.6564;Yes;;;
2;llama3.2;3;10;0.5;0.2;0.6105;Yes;;;
2;llama3.2;4;1;1;0.5;0.7924;No;;;
2;llama3.2;4;2;1;0;0.8961;No;;;
2;llama3.2;4;3;0;0;0.6739;No;;;
2;llama3.2;4;4;1;0;0.5967;No;;;
2;llama3.2;4;5;1;0.3333;0.6009;No;;;
2;llama3.2;4;6;1;1;0.2084;No;;;
2;llama3.2;4;7;1;1;0.224;No;;;
2;llama3.2;4;8;1;1;0.337;No;;;
2;llama3.2;4;9;0.5;0;0.6187;No;;;
2;llama3.2;4;10;0.5;0.2;0.5774;No;;;
2;llama3.2;4;1;1;0.5;0.7875;Yes;;;
2;llama3.2;4;2;1;0;0.8969;Yes;;;
2;llama3.2;4;3;0;0;-0.0423;Yes;;;
2;llama3.2;4;4;1;0;0.6378;Yes;;;
2;llama3.2;4;5;1;0.3333;0.7247;Yes;;;
2;llama3.2;4;6;1;1;0.1285;Yes;;;
2;llama3.2;4;7;1;1;0.1537;Yes;;;
2;llama3.2;4;8;1;1;0.3487;Yes;;;
2;llama3.2;4;9;0.5;0;0.5511;Yes;;;
2;llama3.2;4;10;0.5;0.2;0.6154;Yes;;;
2;llama3.2;5;1;1;0.5;0.7785;No;;;
2;llama3.2;5;2;1;0;0.7737;No;;;
2;llama3.2;5;3;0;0;0.7413;No;;;
2;llama3.2;5;4;1;0;0.6745;No;;;
2;llama3.2;5;5;1;0.3333;0.6533;No;;;
2;llama3.2;5;6;1;1;0.069;No;;;
2;llama3.2;5;7;1;1;-0.0075;No;;;
2;llama3.2;5;8;1;1;0.0939;No;;;
2;llama3.2;5;9;0.5;0;0.5684;No;;;
2;llama3.2;5;10;0.5;0.2;0.562;No;;;
2;llama3.2;5;1;1;0.5;0.8038;Yes;;;
2;llama3.2;5;2;1;0;0.8667;Yes;;;
2;llama3.2;5;3;0;0;0.6588;Yes;;;
2;llama3.2;5;4;1;0;0.6821;Yes;;;
2;llama3.2;5;5;1;0.3333;0.6229;Yes;;;
2;llama3.2;5;6;1;1;0.0295;Yes;;;
2;llama3.2;5;7;1;1;0.0728;Yes;;;
2;llama3.2;5;8;1;1;0.0892;Yes;;;
2;llama3.2;5;9;0.5;0;0.5256;Yes;;;
2;llama3.2;5;10;0.5;0.2;0.5885;Yes;;;
2;qwen2.5:7b;1;1;1;0.5;0.8466;No;;;
2;qwen2.5:7b;1;2;1;0;0.876;No;;;
2;qwen2.5:7b;1;3;0;0;0.6842;No;;;
2;qwen2.5:7b;1;4;1;0;0.7689;No;;;
2;qwen2.5:7b;1;5;1;0.3333;0.7043;No;;;
2;qwen2.5:7b;1;6;1;1;0.0596;No;;;
2;qwen2.5:7b;1;7;1;1;0.0436;No;;;
2;qwen2.5:7b;1;8;1;1;0.1312;No;;;
2;qwen2.5:7b;1;9;0.5;0;0.5928;No;;;
2;qwen2.5:7b;1;10;0.5;0.2;0.582;No;;;
2;qwen2.5:7b;1;1;1;0.5;0.8714;Yes;;;
2;qwen2.5:7b;1;2;1;0;0.8053;Yes;;;
2;qwen2.5:7b;1;3;0;0;0.6897;Yes;;;
2;qwen2.5:7b;1;4;1;0;0.6817;Yes;;;
2;qwen2.5:7b;1;5;1;0.3333;0.6674;Yes;;;
2;qwen2.5:7b;1;6;1;1;0.0139;Yes;;;
2;qwen2.5:7b;1;7;1;1;0.0291;Yes;;;
2;qwen2.5:7b;1;8;1;1;0.2311;Yes;;;
2;qwen2.5:7b;1;9;0.5;0;0.6008;Yes;;;
2;qwen2.5:7b;1;10;0.5;0.2;0.551;Yes;;;
2;qwen2.5:7b;2;1;1;0.5;0.8454;No;;;
2;qwen2.5:7b;2;2;1;0;0.8842;No;;;
2;qwen2.5:7b;2;3;0;0;0.6196;No;;;
2;qwen2.5:7b;2;4;1;0;0.6918;No;;;
2;qwen2.5:7b;2;5;1;0.3333;0.6862;No;;;
2;qwen2.5:7b;2;6;1;1;0.1371;No;;;
2;qwen2.5:7b;2;7;1;1;0.0681;No;;;
2;qwen2.5:7b;2;8;1;1;0.1365;No;;;
2;qwen2.5:7b;2;9;0.5;0;0.6596;No;;;
2;qwen2.5:7b;2;10;0.5;0.2;0.5357;No;;;
2;qwen2.5:7b;2;1;1;0.5;0.8326;Yes;;;
2;qwen2.5:7b;2;2;1;0;0.8644;Yes;;;
2;qwen2.5:7b;2;3;0;0;0.7075;Yes;;;
2;qwen2.5:7b;2;4;1;0;0.5989;Yes;;;
2;qwen2.5:7b;2;5;1;0.3333;0.6059;Yes;;;
2;qwen2.5:7b;2;6;1;1;0.0328;Yes;;;
2;qwen2.5:7b;2;7;1;1;0.0213;Yes;;;
2;qwen2.5:7b;2;8;1;1;0.0862;Yes;;;
2;qwen2.5:7b;2;9;0.5;0;0.6009;Yes;;;
2;qwen2.5:7b;2;10;0.5;0.2;0.5728;Yes;;;
2;qwen2.5:7b;3;1;1;0.5;0.8665;No;;;
2;qwen2.5:7b;3;2;1;0;0.8623;No;;;
2;qwen2.5:7b;3;3;0;0;0.6717;No;;;
2;qwen2.5:7b;3;4;1;0;0.6789;No;;;
2;qwen2.5:7b;3;5;1;0.3333;0.7216;No;;;
2;qwen2.5:7b;3;6;1;1;0.2743;No;;;
2;qwen2.5:7b;3;7;1;1;0.1152;No;;;
2;qwen2.5:7b;3;8;1;1;0.2477;No;;;
2;qwen2.5:7b;3;9;0.5;0;0.608;No;;;
2;qwen2.5:7b;3;10;0.5;0.2;0.2479;No;;;
2;qwen2.5:7b;3;1;1;0.5;0.8884;Yes;;;
2;qwen2.5:7b;3;2;1;0;0.838;Yes;;;
2;qwen2.5:7b;3;3;0;0;0.687;Yes;;;
2;qwen2.5:7b;3;4;1;0;0.6829;Yes;;;
2;qwen2.5:7b;3;5;1;0.3333;0.6381;Yes;;;
2;qwen2.5:7b;3;6;1;1;0.2721;Yes;;;
2;qwen2.5:7b;3;7;1;1;0.0498;Yes;;;
2;qwen2.5:7b;3;8;1;1;0.0607;Yes;;;
2;qwen2.5:7b;3;9;0.5;0;0.6995;Yes;;;
2;qwen2.5:7b;3;10;0.5;0.2;0.4962;Yes;;;
2;qwen2.5:7b;4;1;1;0.5;0.8501;No;;;
2;qwen2.5:7b;4;2;1;0;0.8267;No;;;
2;qwen2.5:7b;4;3;0;0;0.6399;No;;;
2;qwen2.5:7b;4;4;1;0;0.7157;No;;;
2;qwen2.5:7b;4;5;1;0.3333;0.6787;No;;;
2;qwen2.5:7b;4;6;1;1;0.2136;No;;;
2;qwen2.5:7b;4;7;1;1;0.8843;No;;;
2;qwen2.5:7b;4;8;1;1;0.8843;No;;;
2;qwen2.5:7b;4;9;0.5;0;0.5975;No;;;
2;qwen2.5:7b;4;10;0.5;0.2;0.5743;No;;;
2;qwen2.5:7b;4;1;1;0.5;0.8475;Yes;;;
2;qwen2.5:7b;4;2;1;0;0.8604;Yes;;;
2;qwen2.5:7b;4;3;0;0;0.6564;Yes;;;
2;qwen2.5:7b;4;4;1;0;0.5774;Yes;;;
2;qwen2.5:7b;4;5;1;0.3333;0.6309;Yes;;;
2;qwen2.5:7b;4;6;1;1;0.1938;Yes;;;
2;qwen2.5:7b;4;7;1;1;0.8843;Yes;;;
2;qwen2.5:7b;4;8;1;1;0.8843;Yes;;;
2;qwen2.5:7b;4;9;0.5;0;0.602;Yes;;;
2;qwen2.5:7b;4;10;0.5;0.2;0.5783;Yes;;;
2;qwen2.5:7b;5;1;1;0.5;0.8425;No;;;
2;qwen2.5:7b;5;2;1;0;0.8681;No;;;
2;qwen2.5:7b;5;3;0;0;0.6999;No;;;
2;qwen2.5:7b;5;4;1;0;0.5869;No;;;
2;qwen2.5:7b;5;5;1;0.3333;0.6372;No;;;
2;qwen2.5:7b;5;6;1;1;0.0912;No;;;
2;qwen2.5:7b;5;7;1;1;0.0042;No;;;
2;qwen2.5:7b;5;8;1;1;0.141;No;;;
2;qwen2.5:7b;5;9;0.5;0;0.5921;No;;;
2;qwen2.5:7b;5;10;0.5;0.2;0.5466;No;;;
2;qwen2.5:7b;5;1;1;0.5;0.839;Yes;;;
2;qwen2.5:7b;5;2;1;0;0.8548;Yes;;;
2;qwen2.5:7b;5;3;0;0;0.701;Yes;;;
2;qwen2.5:7b;5;4;1;0;0.6687;Yes;;;
2;qwen2.5:7b;5;5;1;0.3333;0.6217;Yes;;;
2;qwen2.5:7b;5;6;1;1;0.0438;Yes;;;
2;qwen2.5:7b;5;7;1;1;0.0294;Yes;;;
2;qwen2.5:7b;5;8;1;1;0.0742;Yes;;;
2;qwen2.5:7b;5;9;0.5;0;0.6116;Yes;;;
2;qwen2.5:7b;5;10;0.5;0.2;0.5671;Yes;;;
1;gpt-4o;1;1;1;1;0.8619;No;;;
1;gpt-4o;1;2;1;0;0.7717;No;;;
1;gpt-4o;1;3;0;0;0.0901;No;;;
1;gpt-4o;1;4;1;0;0.0694;No;;;
1;gpt-4o;1;5;1;0.3333;0.0289;No;;;
1;gpt-4o;1;6;1;1;0.1849;No;;;
1;gpt-4o;1;7;1;1;0.1963;No;;;
1;gpt-4o;1;8;1;1;0.125;No;;;
1;gpt-4o;1;9;0.5;0;0.6075;No;;;
1;gpt-4o;1;10;0.5;0.2;0.61;No;;;
1;gpt-4o;2;1;1;1;0.1064;No;;;
1;gpt-4o;2;2;1;0;0.0237;No;;;
1;gpt-4o;2;3;0;0;0.0901;No;;;
1;gpt-4o;2;4;1;0;0.0694;No;;;
1;gpt-4o;2;5;1;0.3333;0.0289;No;;;
1;gpt-4o;2;6;1;1;0.1095;No;;;
1;gpt-4o;2;7;1;1;0.1095;No;;;
1;gpt-4o;2;8;1;1;0.1095;No;;;
1;gpt-4o;2;9;0.5;0;0.5526;No;;;
1;gpt-4o;2;10;0.5;0.2;0.5802;No;;;
1;gpt-4o;3;1;1;1;0.8712;No;;;
1;gpt-4o;3;2;1;0;0.8683;No;;;
1;gpt-4o;3;3;0;0;0.58;No;;;
1;gpt-4o;3;4;1;0;0.6888;No;;;
1;gpt-4o;3;5;1;0.3333;0.6352;No;;;
1;gpt-4o;3;6;1;1;0.0856;No;;;
1;gpt-4o;3;7;1;1;0.0219;No;;;
1;gpt-4o;3;8;1;1;0.0246;No;;;
1;gpt-4o;3;9;0.5;0;0.6911;No;;;
1;gpt-4o;3;10;0.5;0.2;0.6118;No;;;
1;gpt-4o;4;1;1;1;0.9428;No;;;
1;gpt-4o;4;2;1;0;0.8547;No;;;
1;gpt-4o;4;3;0;0;0.7028;No;;;
1;gpt-4o;4;4;1;0;0.035;No;;;
1;gpt-4o;4;5;1;0.3333;0.7058;No;;;
1;gpt-4o;4;6;1;1;0.8843;No;;;
1;gpt-4o;4;7;1;1;0.8843;No;;;
1;gpt-4o;4;8;1;1;0.8843;No;;;
1;gpt-4o;4;9;0.5;0;0.0457;No;;;
1;gpt-4o;4;10;0.5;0.2;0.0241;No;;;
1;gpt-4o;5;1;1;1;0.8858;No;;;
1;gpt-4o;5;2;1;0;0.8321;No;;;
1;gpt-4o;5;3;0;0;0.7055;No;;;
1;gpt-4o;5;4;1;0;0.7405;No;;;
1;gpt-4o;5;5;1;0.3333;0.5536;No;;;
1;gpt-4o;5;6;1;1;0.0348;No;;;
1;gpt-4o;5;7;1;1;0.1428;No;;;
1;gpt-4o;5;8;1;1;0.2388;No;;;
1;gpt-4o;5;9;0.5;0;0.5494;No;;;
1;gpt-4o;5;10;0.5;0.2;0.589;No;;;
1;gpt-4o;1;1;1;1;0.8624;Yes;;;
1;gpt-4o;1;2;1;0;0.8239;Yes;;;
1;gpt-4o;1;3;0;0;0.4313;Yes;;;
1;gpt-4o;1;4;1;0;0.7732;Yes;;;
1;gpt-4o;1;5;1;0.3333;0.6907;Yes;;;
1;gpt-4o;1;6;1;1;0.058;Yes;;;
1;gpt-4o;1;7;1;1;0.1668;Yes;;;
1;gpt-4o;1;8;1;1;0.125;Yes;;;
1;gpt-4o;1;9;0.5;0;0.6585;Yes;;;
1;gpt-4o;1;10;0.5;0.2;0.5814;Yes;;;
1;gpt-4o;2;1;1;1;0.888;Yes;;;
1;gpt-4o;2;2;1;0;0.8213;Yes;;;
1;gpt-4o;2;3;0;0;0.7494;Yes;;;
1;gpt-4o;2;4;1;0;0.7401;Yes;;;
1;gpt-4o;2;5;1;0.3333;0.6578;Yes;;;
1;gpt-4o;2;6;1;1;-0.004;Yes;;;
1;gpt-4o;2;7;1;1;0.025;Yes;;;
